,title,lyrics,artists,artistsFromList,date,rank,cnt
And now who makes it liver than a hip-hop, scuba diver
Chilling with
A pina colada, kidada hooked me up
With Tommy now I got a lot of gear
From everywhere, that I'd like to share (yeah right!)
But I'd rather do Kani, don't ask why! 5001, my son gets shit done
All on the catwalk, what they've ever done for you?
You better get down with your real crew
'Cause I ride the beat and I ride it well
And if you take a look it ain't hard to tell that I

[Hook x2]

[Outro]
To the L, to the Y, and the T, to the E
(Rock the house and rock the house)",MC Lyte,MC Lyte,1997,"[47, 41, 34, 28, 17, 13, 13, 14, 11, 13, 15, 19, 22, 24, 26]",15
304,Thirty-Three,"[Verse 1]
Speak to me in a language I can hear
Humor me before I have to go
Deep in thought I forgive everyone
As the cluttered streets greet me once again
I know I can't be late, supper's waiting on the table
Tomorrow's just an excuse away
So I pull my collar up and face the cold, on my own
The earth laughs beneath my heavy feet
At the blasphemy in my old jangly walk
Steeple guide me to my heart and home
The sun is out and up and down again

[Pre-Chorus]
I know I'll make it, love can last forever
Graceful swans of never topple to the earth

[Chorus]
And you can make it last forever, you
You can make it last forever, you
Can make it last

[Verse 2]
And for a moment, I lose myself
Wrapped up in the pleasures of the world
I've journeyed here and there and back again
But in the same old haunts I still find my friends
Mysteries not ready to reveal
Sympathies I'm ready to return

[Pre-Chorus]
I'll make the effort, love can last forever
Graceful swans of never topple to the earth
Tomorrow's just an excuse
Tomorrow's just an excuse

[Chorus]
And you can make it last forever, you
Can make it last forever, you
Can make it last forever, you
Forever, you",The Smashing Pumpkins,The Smashing Pumpkins,1997,"[89, 89, 84, 73, 66, 62, 55, 52, 45, 40, 39, 44, 42, 45, 47]",15
305,I'm Not Giving You Up,"To be completely honest
It scares me to imagine
What life would be without you

And for this very reason
I ask you to forgive me
For what I'm putting us through

Although there are so many things
Against us, I've decided
That I'm not giving you up, no...

Thinking back, I see what we have
Is something different
I think we've known all along
So how fair would it be
To divide this love's existence
Between what's right and what's wrong

And you, always wondering if we'll make it
Time will tell you
That I'm not giving you up, no, no...

We'll find a way to be together
However long it takes, wherever
If it means having you for only a moment
A moment just might be enough
I'm not giving you up, no
No I'm not giving you up, no

Screaming in the silence the promises we've spoken
Come back to haunt me, false and broken
Quiet desperation to see we're lost forever
Searching for water in the desert

No, I refuse to have to do
Without your kisses
I'm not giving you up, no, no

We'll find a way to be together
However long it takes, wherever
If it means having you for only a moment
A moment just might be enough
I'm not giving you up, no

No I'm not giving you up, no
No I'm not giving you up",Gloria Estefan,Gloria Estefan,1997,"[92, 88, 90, 85, 70, 68, 60, 59, 52, 51, 47, 40, 54, 54, 54]",15
